provinsi,kota,nik,nama,tempat,tgl_lahir,jenis_kelamin,golongan_darah,alamat,rt/rw,kel/desa,kecamatan,agama,status,pekerjaan,kewarganegaraan,masa_berlaku,terbuat,pas_photo
BALI,DENPASAR,5880236395513372,Cory Rosy,ltgxrult,20-02-2015,LAKI-LAKI,O,jl. xaokm ofbopgp 5,064/057,denpasar,denpasar utara,KONGHUCU,KAWIN,khckmnlwdnni,WNI,SEUMUR HIDUP,20-10-2021,src/image.jpeg
BALI,DENPASAR,5703005911698198,Erik Nathan,clqxuooi,13-04-1995,PEREMPUAN,B,jl. gakio oocvfag 0,941/923,denpasar,denpasar utara,KONGHUCU,KAWIN,qdyfxxwfiito,WNI,SEUMUR HIDUP,24-11-2021,src/image.jpeg
BALI,DENPASAR,5358214789680877,Tran Chaya,opcqjugl,26-03-2001,LAKI-LAKI,A,jl. rexpl lsxakdi 7,864/577,denpasar,denpasar utara,ISLAM,BELUM KAWIN,xyxnjvoydmiv,WNI,SEUMUR HIDUP,17-10-2021,src/image.jpeg
BALI,DENPASAR,5629099898403165,Leora Gordon,qtlrsmme,07-06-1994,PEREMPUAN,O,jl. ocgff akiddsj 8,123/413,denpasar,denpasar utara,KONGHUCU,KAWIN,iliobkvqrbhl,WNI,SEUMUR HIDUP,11-02-2022,src/image.jpeg
BALI,DENPASAR,5678825944641921,Patrice Tegan,mcybdtfq,27-07-2015,PEREMPUAN,O,jl. xwalh ykyeave 2,294/585,denpasar,denpasar utara,KONGHUCU,KAWIN,xcgocyrgpfor,WNI,SEUMUR HIDUP,09-10-2021,src/image.jpeg
BALI,DENPASAR,5615422782191360,Reginald Fredrick,xgtfkiry,22-02-2006,LAKI-LAKI,O,jl. lngtw ajmsekx 5,089/229,denpasar,denpasar utara,HINDU,KAWIN,xggnqvqqlpbo,WNI,SEUMUR HIDUP,18-12-2021,src/image.jpeg
BALI,DENPASAR,5982743956256908,Mohammed King,cxtjohzx,13-07-1997,PEREMPUAN,B,jl. zxsym oluwkez 8,974/325,denpasar,denpasar utara,HINDU,KAWIN,pijdyzwipjzt,WNI,SEUMUR HIDUP,02-10-2021,src/image.jpeg
BALI,DENPASAR,5902321527779932,Jaye Tod,ysjxvoux,22-03-2019,LAKI-LAKI,B,jl. jghbv bcxpake 9,307/652,denpasar,denpasar utara,KATOLIK,KAWIN,qhankcorchwh,WNI,SEUMUR HIDUP,21-03-2022,src/image.jpeg
BALI,DENPASAR,5910111098308061,Irmgard Irwin,haxssrdy,23-04-1991,PEREMPUAN,O,jl. qndpt hlbkfmt 3,607/644,denpasar,denpasar utara,HINDU,BELUM KAWIN,rsrxndqgcohq,WNI,SEUMUR HIDUP,16-01-2022,src/image.jpeg
BALI,DENPASAR,5040385467603131,Lucina Avelina,aculeaii,04-08-2009,LAKI-LAKI,A,jl. yvlxm rcjyiln 2,755/264,denpasar,denpasar utara,KRISTEN,BELUM KAWIN,fdosahljwqfp,WNI,SEUMUR HIDUP,25-11-2021,src/image.jpeg
BALI,DENPASAR,5438409783432053,Beverly Jose,doakhwpc,10-05-2018,PEREMPUAN,B,jl. bcgjl ehqbtcu 8,053/953,denpasar,denpasar utara,KONGHUCU,KAWIN,bllzueysxjij,WNI,SEUMUR HIDUP,24-07-2021,src/image.jpeg
BALI,DENPASAR,5817261716995166,Aleshia Emerson,witoapow,28-03-1990,LAKI-LAKI,B,jl. ucyud nxxuhen 1,709/013,denpasar,denpasar utara,KRISTEN,KAWIN,rgkssuijeqyo,WNI,SEUMUR HIDUP,10-10-2021,src/image.jpeg
BALI,DENPASAR,5431567289406261,Gretta Elliot,xzgcixav,21-06-2016,PEREMPUAN,O,jl. itvgc hssnwse 6,349/693,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,bizqnezuohbg,WNI,SEUMUR HIDUP,11-01-2022,src/image.jpeg
BALI,DENPASAR,5420093889585186,Darrin Lawrence,eseagbfu,15-09-2003,LAKI-LAKI,O,jl. zvucz yhxeunc 3,933/866,denpasar,denpasar utara,KONGHUCU,KAWIN,ahnasknychwr,WNI,SEUMUR HIDUP,24-07-2021,src/image.jpeg
BALI,DENPASAR,5831783579846782,Leonore Dacia,upznpnyg,20-07-1991,LAKI-LAKI,O,jl. tmvth xwdyzgl 7,225/092,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,rbjrfzkiyboo,WNI,SEUMUR HIDUP,23-10-2021,src/image.jpeg
BALI,DENPASAR,5150277431644031,Buffy Herbert,vemqjzgq,04-02-1999,LAKI-LAKI,O,jl. xuavd ncepffk 2,540/709,denpasar,denpasar utara,HINDU,BELUM KAWIN,tyfjnydgulov,WNI,SEUMUR HIDUP,10-06-2021,src/image.jpeg
BALI,DENPASAR,5558697467268535,Willis Danial,mmbnsyuq,25-08-2003,LAKI-LAKI,B,jl. kdspq fxbcwhr 4,039/530,denpasar,denpasar utara,HINDU,BELUM KAWIN,hktvwfrwotwx,WNI,SEUMUR HIDUP,13-04-2022,src/image.jpeg
BALI,DENPASAR,5107510309570101,Israel Grady,zefcxueu,25-10-2019,PEREMPUAN,A,jl. rmntv jgcogep 6,668/480,denpasar,denpasar utara,HINDU,BELUM KAWIN,hgezmwuwfloe,WNI,SEUMUR HIDUP,26-11-2021,src/image.jpeg
BALI,DENPASAR,5939292228075519,Elaina Willy,xhalnnde,10-02-1991,PEREMPUAN,O,jl. ctneg tafdong 8,238/213,denpasar,denpasar utara,HINDU,BELUM KAWIN,uognseompwaa,WNI,SEUMUR HIDUP,01-12-2021,src/image.jpeg
BALI,DENPASAR,5463386967871584,Tifany Mitsuko,dqsngbuu,13-07-2002,LAKI-LAKI,B,jl. moqux cjcqznl 1,158/290,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,cumxqihohczz,WNI,SEUMUR HIDUP,20-03-2022,src/image.jpeg
BALI,DENPASAR,5954981388669351,Jewel Mohammed,twysoczc,26-01-2011,LAKI-LAKI,O,jl. bggbj vtyvvex 1,859/843,denpasar,denpasar utara,KONGHUCU,KAWIN,kpvlhriypbcq,WNI,SEUMUR HIDUP,26-04-2022,src/image.jpeg
BALI,DENPASAR,5221302832249316,Danae Rae,eoaituso,23-01-2018,PEREMPUAN,B,jl. rbzed semzrcm 5,687/628,denpasar,denpasar utara,HINDU,BELUM KAWIN,joqspoywhzyk,WNI,SEUMUR HIDUP,16-10-2021,src/image.jpeg
BALI,DENPASAR,5449815593987391,Rudy Lashanda,lhdckasr,10-04-1996,LAKI-LAKI,AB,jl. coidt malodpg 1,986/013,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,zntjhhdiljwe,WNI,SEUMUR HIDUP,09-03-2022,src/image.jpeg
BALI,DENPASAR,5315602543355860,Debora Ernie,tuqguvyr,16-05-1999,PEREMPUAN,B,jl. syxdo ccnvaur 2,534/047,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,famiuhqwvqcx,WNI,SEUMUR HIDUP,04-09-2021,src/image.jpeg
BALI,DENPASAR,5990579369961311,Herb Rafaela,vhodpdnz,16-05-2006,PEREMPUAN,B,jl. triwr mbawlkm 5,199/338,denpasar,denpasar utara,KONGHUCU,KAWIN,mjybnkmomibi,WNI,SEUMUR HIDUP,16-10-2021,src/image.jpeg
BALI,DENPASAR,5206781725512184,Iesha Kimbra,extnpduu,24-08-2009,PEREMPUAN,O,jl. khiqd cthdsnq 7,267/287,denpasar,denpasar utara,HINDU,KAWIN,micubdsmxhot,WNI,SEUMUR HIDUP,08-12-2021,src/image.jpeg
BALI,DENPASAR,5965813853874440,Lemuel Eric,zelnamsz,14-12-2000,LAKI-LAKI,B,jl. xfhzc oydtfil 2,686/384,denpasar,denpasar utara,KONGHUCU,KAWIN,ijgueaartekw,WNI,SEUMUR HIDUP,21-09-2021,src/image.jpeg
BALI,DENPASAR,5230417950730788,Dallas Cary,elejgtrk,14-12-2007,PEREMPUAN,B,jl. vpiem ngalwry 6,929/118,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,watggdfjhpuq,WNI,SEUMUR HIDUP,10-12-2021,src/image.jpeg
BALI,DENPASAR,5078676097586482,Sara Dustin,fdmklkil,18-07-1993,LAKI-LAKI,B,jl. eaidq iamjaid 4,553/537,denpasar,denpasar utara,KONGHUCU,KAWIN,okfpojwboaqf,WNI,SEUMUR HIDUP,19-07-2021,src/image.jpeg
BALI,DENPASAR,5836325904911224,Stephania Dusti,qugbvkus,29-06-1992,LAKI-LAKI,O,jl. nsfol nkbqqax 1,531/978,denpasar,denpasar utara,HINDU,BELUM KAWIN,xfdlaudprcqk,WNI,SEUMUR HIDUP,19-05-2021,src/image.jpeg
BALI,DENPASAR,5936252462310572,Isaiah Eric,zacwbftg,04-05-2016,LAKI-LAKI,B,jl. llcrj gqkukyj 3,771/760,denpasar,denpasar utara,KONGHUCU,KAWIN,gpyumvbuneri,WNI,SEUMUR HIDUP,02-04-2022,src/image.jpeg
BALI,DENPASAR,5461287744114481,Grisel Jana,gwdozlta,13-09-2012,LAKI-LAKI,O,jl. qizvf eqqelyz 2,499/166,denpasar,denpasar utara,KRISTEN,BELUM KAWIN,bvqotwkemary,WNI,SEUMUR HIDUP,28-02-2022,src/image.jpeg
BALI,DENPASAR,5491122611397852,Bradly Julio,kczrqemh,09-07-2018,LAKI-LAKI,O,jl. vhbzl zvegjez 5,224/480,denpasar,denpasar utara,KONGHUCU,KAWIN,nnpssjbbcamv,WNI,SEUMUR HIDUP,17-08-2021,src/image.jpeg
BALI,DENPASAR,5077584708145553,Nelia Elayne,pznknhej,30-12-1991,PEREMPUAN,AB,jl. cccfp doiqhvs 8,333/453,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,huuhtkyudpgh,WNI,SEUMUR HIDUP,27-06-2021,src/image.jpeg
BALI,DENPASAR,5985411815896452,Donovan Domingo,siygiysr,14-10-1996,PEREMPUAN,B,jl. lngpl uoeiuxr 1,902/808,denpasar,denpasar utara,KATOLIK,BELUM KAWIN,gplxshdyxwpx,WNI,SEUMUR HIDUP,15-07-2021,src/image.jpeg
BALI,DENPASAR,5350678465414231,Filomena Florencio,iuxidtbz,14-09-2005,LAKI-LAKI,AB,jl. qcpts moxnatc 6,276/674,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,pmlrbubraxgn,WNI,SEUMUR HIDUP,02-02-2022,src/image.jpeg
BALI,DENPASAR,5111523715217550,Reba Floria,kxhwtgpk,21-08-2006,LAKI-LAKI,AB,jl. fbvza dzdaffq 3,701/577,denpasar,denpasar utara,KATOLIK,KAWIN,cwclnwfzqjtq,WNI,SEUMUR HIDUP,08-08-2021,src/image.jpeg
BALI,DENPASAR,5993743521506806,Arnold Elanor,jifwkaeq,16-09-2006,PEREMPUAN,B,jl. jydlp phrlnmz 8,751/401,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,wfcmnyxygbkz,WNI,SEUMUR HIDUP,12-10-2021,src/image.jpeg
BALI,DENPASAR,5042457757912983,Naida Shirley,waajrfgg,22-01-2006,LAKI-LAKI,O,jl. kqphp yktfksa 1,801/199,denpasar,denpasar utara,ISLAM,KAWIN,xzlbklpwuwml,WNI,SEUMUR HIDUP,16-02-2022,src/image.jpeg
BALI,DENPASAR,5099208987105663,Judson Brittanie,tprwbrpm,01-04-1990,PEREMPUAN,AB,jl. lslfq tzibbeq 8,594/361,denpasar,denpasar utara,HINDU,KAWIN,ihbddchanpim,WNI,SEUMUR HIDUP,15-08-2021,src/image.jpeg
BALI,DENPASAR,5782935631406317,Royce Roxana,mpxmkuhh,05-10-2007,PEREMPUAN,B,jl. vdnqv osfvhvm 9,337/432,denpasar,denpasar utara,KONGHUCU,KAWIN,yikbthsiaqio,WNI,SEUMUR HIDUP,28-06-2021,src/image.jpeg
BALI,DENPASAR,5195628644627709,Flavia Taryn,mcpoqtww,27-04-2015,LAKI-LAKI,AB,jl. gxtbg hkuihnc 3,892/462,denpasar,denpasar utara,KONGHUCU,KAWIN,humxxxssvnsi,WNI,SEUMUR HIDUP,04-03-2022,src/image.jpeg
BALI,DENPASAR,5248126115169264,Albina Harold,ggbixtyq,20-05-1991,PEREMPUAN,O,jl. zrehp oinwiru 6,204/789,denpasar,denpasar utara,HINDU,KAWIN,xahwuguzaycl,WNI,SEUMUR HIDUP,02-11-2021,src/image.jpeg
BALI,DENPASAR,5192649846407053,Imelda Desmond,eizmrtxq,10-11-2000,PEREMPUAN,A,jl. pihua dvrfnnr 8,145/890,denpasar,denpasar utara,HINDU,KAWIN,hqkimdpmdycd,WNI,SEUMUR HIDUP,07-10-2021,src/image.jpeg
BALI,DENPASAR,5792243322491681,Rosetta Agustin,objmcwrt,17-09-2019,LAKI-LAKI,O,jl. hawaw ojyhpeb 7,170/226,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,dozyaepintdn,WNI,SEUMUR HIDUP,18-06-2021,src/image.jpeg
BALI,DENPASAR,5901733190759721,Nathaniel Herminia,kjjocxvs,23-07-2007,LAKI-LAKI,AB,jl. sqzzr aaozjpx 9,461/430,denpasar,denpasar utara,KATOLIK,BELUM KAWIN,sodlfvcsbywq,WNI,SEUMUR HIDUP,23-08-2021,src/image.jpeg
BALI,DENPASAR,5624180929792315,Roma Jon,yqewkjwx,18-06-2005,PEREMPUAN,O,jl. trqjo hnevjki 7,113/024,denpasar,denpasar utara,KATOLIK,KAWIN,shakgrhplorl,WNI,SEUMUR HIDUP,08-03-2022,src/image.jpeg
BALI,DENPASAR,5666513982613378,Margarett Chi,tgulkzzk,07-11-2002,LAKI-LAKI,B,jl. hdkzk ubfcwtw 5,670/916,denpasar,denpasar utara,KONGHUCU,KAWIN,ximbearirbyw,WNI,SEUMUR HIDUP,28-06-2021,src/image.jpeg
BALI,DENPASAR,5495866926891734,Ramon Denae,vbqfkgwo,06-11-1990,PEREMPUAN,AB,jl. xbagu sgwzhmp 8,789/083,denpasar,denpasar utara,KATOLIK,BELUM KAWIN,vckwijmlcjcj,WNI,SEUMUR HIDUP,05-11-2021,src/image.jpeg
BALI,DENPASAR,5235726535976049,Deb Claribel,ybhkrdkq,26-01-2003,PEREMPUAN,B,jl. eivwv ygyfkqr 4,915/790,denpasar,denpasar utara,KONGHUCU,KAWIN,oudfqogfecxr,WNI,SEUMUR HIDUP,14-05-2022,src/image.jpeg
BALI,DENPASAR,5714434125125912,Rick Daren,pjypfydp,30-08-2019,LAKI-LAKI,B,jl. nklum uzaygbo 0,231/782,denpasar,denpasar utara,ISLAM,BELUM KAWIN,qyjslkodbref,WNI,SEUMUR HIDUP,14-06-2021,src/image.jpeg
BALI,DENPASAR,5129407667499113,Elliott Carolynn,enmbwlig,06-01-2011,PEREMPUAN,B,jl. pgxgl kghcwaf 2,298/036,denpasar,denpasar utara,KONGHUCU,KAWIN,xnyigaotjlnp,WNI,SEUMUR HIDUP,28-04-2022,src/image.jpeg
BALI,DENPASAR,5163895709816220,Kris Chad,hwslkpsy,17-10-1999,LAKI-LAKI,O,jl. ueljn oxxdobe 9,771/399,denpasar,denpasar utara,HINDU,BELUM KAWIN,khnnbeefazyt,WNI,SEUMUR HIDUP,27-04-2022,src/image.jpeg
BALI,DENPASAR,5895523641239849,Porfirio Eddie,sschvrsw,01-10-2000,PEREMPUAN,O,jl. wpnek jnhmqel 7,264/410,denpasar,denpasar utara,KRISTEN,KAWIN,zgmtexatkmsu,WNI,SEUMUR HIDUP,07-04-2022,src/image.jpeg
BALI,DENPASAR,5458336526609947,Walton Romeo,ljwphfor,19-01-1990,PEREMPUAN,B,jl. edqnz dyvmrqh 6,393/976,denpasar,denpasar utara,HINDU,KAWIN,payrglygfizw,WNI,SEUMUR HIDUP,31-01-2022,src/image.jpeg
BALI,DENPASAR,5889504192588313,Renaldo Dannie,zunsljsk,02-09-2010,PEREMPUAN,B,jl. zowon xdzzlju 8,117/264,denpasar,denpasar utara,KATOLIK,KAWIN,jpiubraoqtzq,WNI,SEUMUR HIDUP,27-08-2021,src/image.jpeg
BALI,DENPASAR,5762118974389533,Reyes Annamaria,sxsszibg,10-01-1994,LAKI-LAKI,B,jl. sdadg exvtzej 8,388/679,denpasar,denpasar utara,HINDU,BELUM KAWIN,kkrtvtxebtvm,WNI,SEUMUR HIDUP,03-03-2022,src/image.jpeg
BALI,DENPASAR,5800616106133659,Tad Delbert,expydxhu,17-12-2008,PEREMPUAN,O,jl. thmrt kkynhfo 4,228/833,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,aocegybwnnnu,WNI,SEUMUR HIDUP,11-05-2022,src/image.jpeg
BALI,DENPASAR,5799185832871413,Marcos Alease,yofbkawb,21-01-2004,PEREMPUAN,O,jl. uvwmg wvmdrxp 2,707/905,denpasar,denpasar utara,HINDU,BELUM KAWIN,fwznvrcukwna,WNI,SEUMUR HIDUP,22-12-2021,src/image.jpeg
BALI,DENPASAR,5948200379042854,Romeo Kurt,cdzmctmz,20-01-1999,LAKI-LAKI,O,jl. itjtg zyxpdxr 8,213/163,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,euahdkfmwpfo,WNI,SEUMUR HIDUP,27-02-2022,src/image.jpeg
BALI,DENPASAR,5782206566156828,Reinaldo Shannon,siegxqzj,03-11-2002,PEREMPUAN,O,jl. wwrpi gojoosj 5,399/215,denpasar,denpasar utara,HINDU,KAWIN,xfxujadkilnx,WNI,SEUMUR HIDUP,26-11-2021,src/image.jpeg
BALI,DENPASAR,5626346147709656,Wayne Maxwell,rwvmjfrw,13-07-2018,PEREMPUAN,A,jl. gfezd ykaosul 3,995/083,denpasar,denpasar utara,KONGHUCU,KAWIN,ybfuzrybpgor,WNI,SEUMUR HIDUP,10-12-2021,src/image.jpeg
BALI,DENPASAR,5387172972342270,Eduardo Enoch,rgxyaugq,26-05-1999,PEREMPUAN,B,jl. jyddw jolykar 1,275/713,denpasar,denpasar utara,ISLAM,KAWIN,ennvgtxmdfcf,WNI,SEUMUR HIDUP,29-10-2021,src/image.jpeg
BALI,DENPASAR,5609408909028348,Vernia Cristopher,ydvhlfrc,30-04-2008,PEREMPUAN,B,jl. zfjmk lzktkzu 1,173/249,denpasar,denpasar utara,HINDU,KAWIN,pxskibsxcfhd,WNI,SEUMUR HIDUP,23-03-2022,src/image.jpeg
BALI,DENPASAR,5554798278332490,Fabian Dong,awctwlpp,05-08-2015,PEREMPUAN,B,jl. tvrcv lqtlygp 0,056/769,denpasar,denpasar utara,KONGHUCU,KAWIN,cylfdugwjins,WNI,SEUMUR HIDUP,29-01-2022,src/image.jpeg
BALI,DENPASAR,5072874623941824,Lavona Jospeh,zsdqewgc,12-11-2005,PEREMPUAN,A,jl. jdrlz wxlmihi 0,922/450,denpasar,denpasar utara,HINDU,BELUM KAWIN,shmyioynitup,WNI,SEUMUR HIDUP,08-01-2022,src/image.jpeg
BALI,DENPASAR,5648287163819239,Dallas Leandro,ulowuprb,13-09-2001,LAKI-LAKI,B,jl. qltmf smssizo 3,343/803,denpasar,denpasar utara,KONGHUCU,KAWIN,hmjsectwawzk,WNI,SEUMUR HIDUP,17-02-2022,src/image.jpeg
BALI,DENPASAR,5897557377850675,Yasmine Larry,cpelyylc,07-06-1993,LAKI-LAKI,O,jl. nxzoc qrmyvci 3,957/087,denpasar,denpasar utara,HINDU,KAWIN,zsluwxfrcsth,WNI,SEUMUR HIDUP,04-09-2021,src/image.jpeg
BALI,DENPASAR,5078950791483015,Maddie Bradley,qlgolrij,14-01-1992,PEREMPUAN,O,jl. fqrzb fxqxanj 5,511/803,denpasar,denpasar utara,HINDU,BELUM KAWIN,gqfoedlbkncs,WNI,SEUMUR HIDUP,04-09-2021,src/image.jpeg
BALI,DENPASAR,5037060473634867,Thu Carl,stdkmfuw,21-04-1994,LAKI-LAKI,O,jl. vjmxb xdghlir 5,245/579,denpasar,denpasar utara,KATOLIK,KAWIN,yfuzlqvwxeym,WNI,SEUMUR HIDUP,04-12-2021,src/image.jpeg
BALI,DENPASAR,5645443486579846,Lino Zack,kpdnwwem,02-12-2002,PEREMPUAN,O,jl. uzvgf prhtutt 3,665/620,denpasar,denpasar utara,HINDU,KAWIN,obcnhoxxhuwi,WNI,SEUMUR HIDUP,24-04-2022,src/image.jpeg
BALI,DENPASAR,5369564787863064,Joel Brenda,lkcmvzpm,23-10-2004,PEREMPUAN,AB,jl. uzyxq bnjtuwd 3,241/884,denpasar,denpasar utara,KATOLIK,BELUM KAWIN,npwujntvgijr,WNI,SEUMUR HIDUP,08-06-2021,src/image.jpeg
BALI,DENPASAR,5025627277813887,Selina Shemeka,nmlqngop,05-12-1995,LAKI-LAKI,O,jl. cugap zfqyuno 8,943/867,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,ugkbbogjjjxc,WNI,SEUMUR HIDUP,05-07-2021,src/image.jpeg
BALI,DENPASAR,5899367230202627,Merlin Eusebio,wxdhblsq,07-11-2014,PEREMPUAN,B,jl. modlg vuetkyu 1,268/841,denpasar,denpasar utara,HINDU,BELUM KAWIN,rcbeljsuduxf,WNI,SEUMUR HIDUP,31-05-2021,src/image.jpeg
BALI,DENPASAR,5516645651669930,Hollis Neil,wyrahsym,26-11-1995,LAKI-LAKI,A,jl. dlfmx ibnqfnt 8,331/876,denpasar,denpasar utara,KONGHUCU,KAWIN,nkdugyowzfkh,WNI,SEUMUR HIDUP,06-12-2021,src/image.jpeg
BALI,DENPASAR,5894600767239648,Ambrose Lenita,lefacuhp,03-01-1991,PEREMPUAN,B,jl. blyjy hjmefln 7,110/387,denpasar,denpasar utara,KATOLIK,BELUM KAWIN,rxqcfxaufhxk,WNI,SEUMUR HIDUP,16-08-2021,src/image.jpeg
BALI,DENPASAR,5530510139913172,Paris Leigh,ctaqmdyi,05-09-2012,PEREMPUAN,B,jl. wukns mtbisol 1,974/388,denpasar,denpasar utara,HINDU,BELUM KAWIN,gkqvfodoqnrt,WNI,SEUMUR HIDUP,09-06-2021,src/image.jpeg
BALI,DENPASAR,5130493174336443,Renay Anton,uhelhfhc,19-07-1997,LAKI-LAKI,B,jl. xxsmi ubgynxc 3,798/856,denpasar,denpasar utara,HINDU,KAWIN,ritpumxlyyjf,WNI,SEUMUR HIDUP,30-11-2021,src/image.jpeg
BALI,DENPASAR,5541825218641193,Andrea Jerrod,bmkeejsr,03-08-1994,PEREMPUAN,O,jl. yopgm bxdgfhq 1,944/684,denpasar,denpasar utara,KATOLIK,BELUM KAWIN,idnllovybkqp,WNI,SEUMUR HIDUP,07-06-2021,src/image.jpeg
BALI,DENPASAR,5482918130575563,Raymond Deanna,cnxicujp,17-03-2008,LAKI-LAKI,B,jl. skrhc gsnlesd 9,064/693,denpasar,denpasar utara,KONGHUCU,KAWIN,xulaivdzekpr,WNI,SEUMUR HIDUP,18-08-2021,src/image.jpeg
BALI,DENPASAR,5156794899594328,Dorthea Delta,utfbrkoz,07-06-2019,PEREMPUAN,B,jl. unitu omidsqy 2,179/822,denpasar,denpasar utara,KONGHUCU,KAWIN,uojzcniriiil,WNI,SEUMUR HIDUP,21-03-2022,src/image.jpeg
BALI,DENPASAR,5189935414011587,Lorette Fernando,esrgqhhg,23-03-2016,PEREMPUAN,AB,jl. ebveh lydtmkx 2,841/811,denpasar,denpasar utara,KONGHUCU,BELUM KAWIN,gbjlfnenchzr,WNI,SEUMUR HIDUP,08-08-2021,src/image.jpeg
BALI,DENPASAR,5007345537790405,Desmond Cleveland,flypypno,01-03-1993,LAKI-LAKI,O,jl. nwwxk snbsdmw 5,194/171,denpasar,denpasar utara,KATOLIK,BELUM KAWIN,sxhvhthirmrr,WNI,SEUMUR HIDUP,20-02-2022,src/image.jpeg
BALI,DENPASAR,5483261364415338,Felecia Lavon,pcfgiglo,10-06-2010,LAKI-LAKI,B,jl. qjljg dfabcrn 1,747/042,denpasar,denpasar utara,KONGHUCU,KAWIN,mzdrtibtvkwn,WNI,SEUMUR HIDUP,03-08-2021,src/image.jpeg
BALI,DENPASAR,5162229136474734,Eliseo Edmund,zopcqmru,01-10-2006,LAKI-LAKI,B,jl. hmrur arlqnoz 5,246/488,denpasar,denpasar utara,HINDU,BELUM KAWIN,isahtecvvmgw,WNI,SEUMUR HIDUP,02-08-2021,src/image.jpeg
BALI,DENPASAR,5722107095928115,Letha Vernita,upgilheh,03-03-2018,PEREMPUAN,A,jl. heudw msdjioy 0,953/381,denpasar,denpasar utara,KONGHUCU,KAWIN,bxfensyqnybi,WNI,SEUMUR HIDUP,26-04-2022,src/image.jpeg
BALI,DENPASAR,5393563484063517,Brian Mammie,ekqradza,21-11-2007,LAKI-LAKI,O,jl. linla mppsqvq 4,066/164,denpasar,denpasar utara,KRISTEN,BELUM KAWIN,bislqbwjasag,WNI,SEUMUR HIDUP,18-07-2021,src/image.jpeg
